Size of instance   ,   CmaxJohnoson   ,TimeJohnson     ,   CmaxNeh     ,       TimeNeh
20x5  ,   1443       ,   0.000000       ,   1286  ,   0.000000
20x10  ,   1653       ,   0.000000       ,   1502  ,   0.000000
20x20  ,   2651       ,   0.000000       ,   2150  ,   0.031250
50x5  ,   2983       ,   0.000000       ,   2640  ,   0.109375
50x20  ,   4725       ,   0.000000       ,   4082  ,   0.375000
100x5  ,   5758       ,   0.000000       ,   5489  ,   0.765625
200x10  ,   11419       ,   0.000000       ,   11057  ,   12.468750
500x20  ,   28759       ,   0.015625       ,   26670  ,   445.437500
50x20  ,   4725       ,   0.000000       ,   4082  ,   0.343750
100x20  ,   7436       ,   0.000000       ,   6561  ,   6.218750
100x20  ,   7436       ,   0.000000       ,   6561  ,   6.453125
100x20  ,   7436       ,   0.000000       ,   6561  ,   6.093750
100x20  ,   7436       ,   0.000000       ,   6585  ,   8.437500
100x5  ,   5560       ,   0.015625       ,   5447  ,   1.781250
20x5  ,   1356       ,   0.000000       ,   1205  ,   0.015625
20x5  ,   1356       ,   0.000000       ,   1205  ,   0.015625
20x5  ,   1356       ,   0.000000       ,   1211  ,   0.015625
100x5  ,   5560       ,   0.015625       ,   5447  ,   2.171875
100x5  ,   5560       ,   0.000000       ,   5447  ,   1.500000
5x5  ,   85       ,   0.000000       ,   85  ,   0.000000
5x5  ,   124       ,   0.000000       ,   123  ,   0.000000
5x5  ,   124       ,   0.000000       ,   123  ,   0.000000
5x5  ,   124       ,   0.000000       ,   123  ,   0.000000
5x5  ,   124       ,   0.000000       ,   123  ,   0.000000
5x5  ,   124       ,   0.000000       ,   123  ,   0.000000
100x5  ,   5560       ,   0.000000       ,   5447  ,   1.593750
500x20  ,   28978       ,   0.031250       ,   2  ,   3.000000
500x20  ,   28978       ,   0.015625       ,   2  ,   3.000000
3x3  ,   272       ,   0.000000       ,   2  ,   3.000000
